Name,Partner,Opponent 1,Opponent 2,Round,Score: Hand 1,Called: Hand 1,Score: Hand 2,Called: Hand 2,Score: Hand 3,Called: Hand 3,Score: Hand 4,Called: Hand 4,Score: Hand 5,Called: Hand 5,Score: Hand 6,Called: Hand 6,Score: Hand 7,Called: Hand 7,Score: Hand 8,Called: Hand 8,Score: Hand 9,Called: Hand 9,Score: Hand 10,Called: Hand 10,Score: Hand 11,Called: Hand 11,Score: Hand 12,Called: Hand 12,Total,Successful Loners,Total Called,Loners Called,Times Euchred,(optional >>),Team Euchres,Team Euchred,Team Two-Fors,Man Hands Played
Kotwa,Jeff,Jrock,Jim,1,1,v,0,,1,,0,,1,,0,,0,,0,,1,v,0,,1,,0,,5,0,2,0,0,,0,0,0,1728
Jeff,Kotwa,Jim,Jrock,1,1,,0,,1,v,0,v,1,x,0,,0,v,0,,1,,0,,1,v,0,,5,0,5,1,0,,0,0,0,
Jrock,Jim,Jeff,Kotwa,1,0,,1,,0,,2,,0,,2,,2,,1,v,0,,2,v,0,,1,v,11,0,3,0,0,,0,0,2,
Jim,Jrock,Kotwa,Jeff,1,0,,1,v,0,,2,,0,,2,v,2,,1,,0,,2,,0,,1,,11,0,2,0,0,,0,0,2,
Katie B,Sean W,Bussin,Andrea,1,1,v,0,,0,,0,,1,,0,,0,,1,,2,,0,,0,,1,,6,0,1,0,0,,0,0,0,1728
Sean W,Katie B,Andrea,Bussin,1,1,,0,,0,v,0,,1,v,0,,0,,1,v,2,,0,,0,,1,v,6,0,4,0,0,,0,0,0,
Bussin,Andrea,Sean W,Katie B,1,0,,1,x,2,,1,,0,,1,,1,v,0,,0,,1,v,1,,0,,8,0,3,1,0,,1,0,0,
Andrea,Bussin,Katie B,Sean W,1,0,,1,,2,,1,v,0,,1,v,1,,0,,0,v,1,,1,x,0,,8,0,4,1,0,,1,0,0,
Bobo,Rebecca,Allie,Nick,1,0,,0,v,0,,0,,0,,2,,0,,0,,2,,0,,0,,0,,4,0,1,0,1,,1,1,1,1728
Rebecca,Bobo,Nick,Allie,1,0,,0,,0,,0,,0,,2,v,0,,0,,2,,0,,0,,0,,4,0,1,0,0,,1,1,1,
Allie,Nick,Rebecca,Bobo,1,1,,2,,1,v,1,x,1,,0,,1,,1,v,0,v,1,v,1,v,1,v,11,0,7,1,1,,2,1,0,
Nick,Allie,Bobo,Rebecca,1,1,v,2,,1,,1,,1,v,0,,1,v,1,,0,,1,,1,,1,,11,0,3,0,0,,2,1,0,
Alannah,Dre,KLore,Rae,1,1,v,1,v,0,,0,,1,,0,v,2,v,1,x,0,,1,v,0,v,1,,8,0,7,1,2,,0,2,1,1728
Dre,Alannah,Rae,KLore,1,1,,1,,0,,0,,1,v,0,,2,,1,,0,,1,,0,,1,v,8,0,2,0,0,,0,2,1,
KLore,Rae,Dre,Alannah,1,0,,0,,1,,1,,0,,2,,0,,0,,2,,0,,2,,0,,8,0,0,0,0,,1,0,1,
Rae,KLore,Alannah,Dre,1,0,,0,,1,v,1,v,0,,2,,0,,0,,2,v,0,,2,,0,,8,0,3,0,0,,1,0,1,
Joel,Kev,Jordan,Callan,1,0,,0,,1,v,1,x,0,,0,,1,x,0,,2,,0,,0,v,1,,6,0,4,2,1,,1,1,0,1728
Kev,Joel,Callan,Jordan,1,0,,0,,1,,1,,0,,0,,1,,0,v,2,,0,,0,,1,v,6,0,2,0,0,,1,1,0,
Jordan,Callan,Kev,Joel,1,1,v,1,x,0,,0,,1,,1,v,0,,2,,0,v,1,v,2,,0,,9,0,5,1,1,,2,1,0,
Callan,Jordan,Joel,Kev,1,1,,1,,0,,0,,1,v,1,,0,,2,,0,,1,,2,,0,,9,0,1,0,0,,2,1,0,
Laurel,Adrianna,Maddy,Nicole,1,0,v,0,,0,,2,,0,,0,v,0,,0,,1,,2,,0,,0,,5,0,2,0,2,,1,2,1,1728
Adrianna,Laurel,Nicole,Maddy,1,0,,0,,0,,2,,0,,0,,0,v,0,v,1,v,2,v,0,,0,,5,0,4,0,0,,1,2,1,
Maddy,Nicole,Adrianna,Laurel,1,2,,1,,1,v,0,,4,,2,,2,,2,,0,,0,,1,v,1,v,16,0,3,0,0,,0,1,0,
Nicole,Maddy,Laurel,Adrianna,1,2,,1,v,1,,0,v,4,x,2,,2,,2,,0,,0,,1,,1,,16,1,3,1,1,,0,1,0,
Alex,Steve,Bye,Bye,1,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,1728
Steve,Alex,Bye,Bye,1,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,
Bye,Bye,Steve,Alex,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,2,0,0,
Bye,Bye,Alex,Steve,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,2,0,0,
Andrea,Laurel,Bussin,Adrianna,2,0,,4,x,0,,0,x,0,,0,v,0,,0,,1,,2,v,0,,0,,7,1,4,2,2,,0,2,1,1728
Laurel,Andrea,Adrianna,Bussin,2,0,,4,,0,,0,,0,,0,,0,,0,,1,v,2,,0,,0,,7,0,1,0,0,,0,2,1,
Bussin,Adrianna,Laurel,Andrea,2,1,v,0,,1,v,2,,1,,2,,1,,1,,0,,0,,2,v,4,,15,0,3,0,0,,1,0,1,
Adrianna,Bussin,Andrea,Laurel,2,1,,0,,1,,2,,1,x,2,,1,x,1,v,0,,0,,2,,4,x,15,1,4,3,0,,1,0,1,
Bobo,Callan,Jordan,Rebecca,2,0,,1,v,2,,1,,1,v,1,v,0,,0,,0,v,1,v,0,,0,,7,0,5,0,1,,1,1,0,1728
Callan,Bobo,Rebecca,Jordan,2,0,,1,,2,,1,v,1,,1,,0,,0,,0,,1,,0,,0,,7,0,1,0,0,,1,1,0,
Jordan,Rebecca,Callan,Bobo,2,1,,0,,0,v,0,,0,,0,,1,v,1,,2,,0,,1,v,1,,7,0,3,0,1,,1,1,0,
Rebecca,Jordan,Bobo,Callan,2,1,v,0,,0,,0,,0,,0,,1,,1,v,2,,0,,1,,1,v,7,0,3,0,0,,1,1,0,
Allie,Jeff,Nick,Kotwa,2,1,,0,,1,,1,,0,,0,,1,,0,,4,,0,,0,v,0,,8,0,1,0,1,,0,1,0,1728
Jeff,Allie,Kotwa,Nick,2,1,v,0,,1,x,1,x,0,,0,,1,x,0,,4,x,0,,0,,0,,8,1,5,4,0,,0,1,0,
Nick,Kotwa,Jeff,Allie,2,0,,1,v,0,,0,,1,,1,v,0,,4,,0,,1,,2,,1,,11,0,2,0,0,,0,0,0,
Kotwa,Nick,Allie,Jeff,2,0,,1,,0,,0,,1,v,1,,0,,4,x,0,,1,v,2,,1,v,11,1,4,1,0,,0,0,0,
KLore,Maddy,Nicole,Rae,2,0,,1,v,1,v,0,,2,,0,,1,v,0,,1,v,0,,0,,0,,6,0,4,0,0,,0,0,1,1728
Maddy,KLore,Rae,Nicole,2,0,,1,,1,,0,,2,v,0,,1,,0,,1,,0,,0,,0,,6,0,1,0,0,,0,0,1,
Nicole,Rae,Maddy,KLore,2,2,v,0,,0,,2,,0,,1,v,0,,1,v,0,,1,v,1,v,1,v,9,0,6,0,0,,1,0,2,
Rae,Nicole,KLore,Maddy,2,2,,0,,0,,2,v,0,,1,,0,,1,,0,,1,,1,,1,,9,0,1,0,0,,1,0,2,
Katie B,Alannah,Sean W,Dre,2,0,,4,,1,,0,v,4,,1,,0,,1,,1,v,0,,1,,1,,14,0,2,0,1,,0,1,0,1728
Alannah,Katie B,Dre,Sean W,2,0,,4,x,1,x,0,,4,x,1,v,0,,1,v,1,,0,,1,v,1,x,14,2,7,4,0,,0,1,0,
Sean W,Dre,Alannah,Katie B,2,1,,0,,0,,2,,0,,0,,1,,0,,0,,1,v,0,,0,,5,0,1,0,0,,0,0,0,
Dre,Sean W,Katie B,Alannah,2,1,x,0,,0,,2,,0,,0,,1,v,0,,0,,1,,0,,0,,5,0,2,1,0,,0,0,0,
JRock,Alex,Steve,Jim,2,0,,2,,0,,1,,1,v,0,,0,,1,v,2,,1,,0,,1,v,9,0,3,0,0,,1,0,1,1728
Alex,JRock,Jim,Steve,2,0,,2,,0,,1,x,1,,0,,0,,1,,2,v,1,v,0,,1,,9,0,3,1,0,,1,0,1,
Steve,Jim,Alex,JRock,2,4,x,0,,1,v,0,,0,,1,v,1,v,0,,0,,0,,1,v,0,,8,1,5,1,0,,0,1,0,
Jim,Steve,JRock,Alex,2,4,,0,v,1,,0,,0,,1,,1,,0,,0,,0,,1,,0,,8,0,1,0,1,,0,1,0,
Joel,Kev,Bye,Bye,2,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,1728
Kev,Joel,Bye,Bye,2,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,
Bye,Bye,Kev,Joel,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Bye,Bye,Joel,Kev,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Kev,Alannah,Joel,Katie B,3,1,x,4,x,0,,0,,2,,1,v,0,,0,,0,,0,,0,,0,,8,1,3,2,0,,1,0,0,1728
Alannah,Kev,Katie B,Joel,3,1,,4,,0,,0,,2,,1,,0,,0,,0,,0,,0,,0,,8,0,0,0,0,,1,0,0,
Joel,Katie B,Alannah,Kev,3,0,,0,,1,,1,v,0,x,0,,1,x,1,x,4,x,1,x,1,,4,x,14,2,7,6,1,,0,1,0,
Katie B,Joel,Kev,Alannah,3,0,,0,,1,x,1,,0,,0,,1,,1,,4,,1,,1,v,4,,14,0,2,1,0,,0,1,0,
Alex,Bobo,Jrock,Callan,3,1,x,0,,4,x,0,,1,,4,,1,v,0,,1,,0,,2,v,0,,14,1,4,2,0,,0,0,1,1728
Bobo,Alex,Callan,Jrock,3,1,,0,,4,,0,,1,v,4,x,1,,0,,1,v,0,,2,,0,,14,1,3,1,0,,0,0,1,
Jrock,Callan,Bobo,Alex,3,0,,1,,0,,2,v,0,,0,,0,,1,,0,,1,v,0,,4,x,9,1,3,1,0,,1,0,1,
Callan,Jrock,Alex,Bobo,3,0,,1,v,0,,2,,0,,0,,0,,1,v,0,,1,,0,,4,,9,0,2,0,0,,1,0,1,
Klore,Bussin,Maddy,Adrianna,3,0,,0,,0,v,1,,1,,0,,4,x,1,x,1,,1,,4,,2,,15,1,3,2,1,,1,1,0,1728
Bussin,Klore,Adrianna,Maddy,3,0,,0,v,0,,1,v,1,v,0,,4,,1,,1,v,1,x,4,x,2,,15,1,6,2,0,,1,1,0,
Maddy,Adrianna,Bussin,Klore,3,1,,2,,2,,0,,0,,4,,0,,0,,0,,0,,0,,0,v,9,0,1,0,1,,1,1,0,
Adrianna,Maddy,Klore,Bussin,3,1,v,2,,2,,0,,0,,4,x,0,,0,,0,,0,,0,,0,,9,1,2,1,0,,1,1,0,
Kotwa,Jim,Nick,Steve,3,1,x,0,v,1,v,2,v,0,,1,,2,,0,,0,,0,,0,,1,v,8,0,5,1,1,,0,1,2,1728
Jim,Kotwa,Steve,Nick,3,1,,0,,1,,2,,0,,1,v,2,v,0,,0,,0,,0,,1,,8,0,2,0,0,,0,1,2,
Nick,Steve,Jim,Kotwa,3,0,,2,,0,,0,,2,v,0,,0,,2,,1,v,1,,2,,0,,10,0,2,0,0,,0,0,3,
Steve,Nick,Kotwa,Jim,3,0,,2,,0,,0,,2,,0,,0,,2,v,1,,1,v,2,v,0,,10,0,3,0,0,,0,0,3,
Allie,Jordan,Jeff,Rebecca,3,0,,4,,1,,0,,1,x,1,,1,,2,,1,x,0,,1,v,0,,12,0,3,2,0,,0,0,1,1728
Jordan,Allie,Rebecca,Jeff,3,0,,4,x,1,v,0,,1,,1,v,1,v,2,v,1,,0,,1,,0,,12,1,5,1,0,,0,0,1,
Jeff,Rebecca,Jordan,Allie,3,1,v,0,,0,,1,v,0,,0,,0,,0,,0,,2,,0,,1,v,5,0,3,0,0,,1,0,1,
Rebecca,Jeff,Allie,Jordan,3,1,,0,,0,,1,,0,,0,,0,,0,,0,,2,v,0,,1,,5,0,1,0,0,,1,0,1,
Dre,Rae,Sean W,Nicole,3,1,,1,,1,,1,v,2,,0,v,1,,1,,1,x,0,,2,,0,,11,0,3,1,1,,1,1,0,1728
Rae,Dre,Nicole,Sean W,3,1,v,1,v,1,v,1,,2,,0,,1,v,1,v,1,,0,,2,,0,,11,0,5,0,0,,1,1,0,
Sean W,Nicole,Rae,Dre,3,0,,0,,0,,0,,0,,2,,0,,0,,0,,1,,0,,1,v,4,0,1,0,0,,0,1,0,
Nicole,Sean W,Dre,Rae,3,0,,0,,0,,0,,0,,2,,0,,0,,0,,1,v,0,v,1,,4,0,2,0,1,,0,1,0,
Andrea,Laurel,Bye,Bye,3,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,1728
Laurel,Andrea,Bye,Bye,3,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,
Bye,Bye,Laurel,Andrea,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Bye,Bye,Andrea,Laurel,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Maddy,Jordan,Rebecca,Callan,4,1,,0,,0,,2,,0,,0,,1,v,0,,4,,0,,1,v,0,,9,0,2,0,0,,0,0,1,1728
Jordan,Maddy,Callan,Rebecca,4,1,v,0,,0,,2,v,0,,0,,1,,0,,4,x,0,,1,,0,,9,1,3,1,0,,0,0,1,
Rebecca,Callan,Jordan,Maddy,4,0,,1,v,1,,0,,1,,1,v,0,,1,,0,,1,,0,,1,,7,0,2,0,0,,1,0,0,
Callan,Rebecca,Maddy,Jordan,4,0,,1,,1,v,0,,1,v,1,,0,,1,v,0,,1,x,0,,1,x,7,0,5,2,0,,1,0,0,
Jrock,Kotwa,Sean W,KLore,4,1,x,2,,2,,1,v,0,v,0,,0,,0,,1,,1,,1,,0,,9,0,3,1,1,,2,1,0,1728
Kotwa,Jrock,KLore,Sean W,4,1,,2,,2,,1,,0,,0,,0,,0,,1,v,1,x,1,x,0,,9,0,3,2,0,,2,1,0,
Sean W,KLore,Kotwa,Jrock,4,0,,0,v,0,v,0,,2,,1,v,1,,1,v,0,,0,,0,,1,,6,0,4,0,2,,0,2,0,
KLore,Sean W,Jrock,Kotwa,4,0,,0,,0,,0,,2,,1,,1,v,1,,0,,0,,0,,1,v,6,0,2,0,0,,0,2,0,
Bussin,Kev,Steve,Bobo,4,0,,1,,0,,0,,2,,4,,1,v,1,v,1,,2,,2,,0,,14,0,2,0,0,,1,0,1,1728
Kev,Bussin,Bobo,Steve,4,0,,1,x,0,v,0,,2,,4,x,1,,1,,1,v,2,,2,v,0,,14,1,5,2,0,,1,0,1,
Steve,Bobo,Kev,Bussin,4,1,v,0,,2,,2,,0,v,0,,0,,0,,0,,0,,0,,2,,7,0,2,0,1,,0,1,2,
Bobo,Steve,Bussin,Kev,4,1,,0,,2,,2,v,0,,0,,0,,0,,0,,0,v,0,,2,v,7,0,3,0,0,,0,1,2,
Alannah,Jim,Alex,Katie B,4,1,,4,,2,,1,v,1,v,0,,0,,0,,0,,2,,0,,4,x,15,1,3,1,0,,2,0,0,1728
Jim,Alannah,Katie B,Alex,4,1,v,4,x,2,,1,,1,,0,,0,,0,,0,,2,,0,,4,,15,1,2,1,0,,2,0,0,
Alex,Katie B,Jim,Alannah,4,0,,0,,0,v,0,,0,,2,v,1,x,1,,1,v,0,v,1,v,0,,6,0,6,1,2,,0,2,1,
Katie B,Alex,Alannah,Jim,4,0,,0,,0,,0,,0,,2,,1,,1,v,1,,0,,1,,0,,6,0,1,0,0,,0,2,1,
Allie,Dre,Adrianna,Nick,4,0,,0,,1,,1,v,1,,0,,0,,1,,0,,0,,0,,2,,6,0,1,0,0,,0,0,0,1728
Dre,Allie,Nick,Adrianna,4,0,,0,,1,v,1,,1,v,0,,0,,1,x,0,,0,,0,,2,,6,0,3,1,0,,0,0,0,
Adrianna,Nick,Dre,Allie,4,1,,1,v,0,,0,,0,,1,v,1,x,0,,1,,1,,1,v,0,,7,0,4,1,0,,0,0,0,
Nick,Adrianna,Allie,Dre,4,1,v,1,,0,,0,,0,,1,,1,,0,,1,x,1,v,1,,0,v,7,0,4,1,0,,0,0,0,
Joel,Laurel,Andrea,Nicole,4,0,,2,,1,,0,,0,,1,,0,,1,v,0,,0,,1,v,1,x,7,0,3,1,0,,0,0,1,1728
Laurel,Joel,Nicole,Andrea,4,0,,2,v,1,v,0,,0,,1,v,0,,1,,0,,0,,1,,1,,7,0,3,0,0,,0,0,1,
Andrea,Nicole,Laurel,Joel,4,2,v,0,,0,,1,v,1,v,0,,1,,0,,1,v,1,,0,,0,,7,0,4,0,0,,0,0,1,
Nicole,Andrea,Joel,Laurel,4,2,,0,,0,,1,,1,,0,,1,v,0,,1,,1,v,0,,0,,7,0,2,0,0,,0,0,1,
Jeff,Rae,Bye,Bye,4,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,1728
Rae,Jeff,Bye,Bye,4,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,
Bye,Bye,Rae,Jeff,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Bye,Bye,Jeff,Rae,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Nick,Laurel,Joel,Adrianna,5,1,,1,,1,v,1,v,1,,0,,2,,0,,1,v,0,,2,v,1,v,11,0,5,0,0,,0,0,2,1728
Laurel,Nick,Adrianna,Joel,5,1,v,1,v,1,,1,,1,v,0,,2,v,0,v,1,,0,,2,,1,,11,0,5,0,0,,0,0,2,
Joel,Adrianna,Laurel,Nick,5,0,,0,,0,,0,,0,,1,v,0,,2,,0,,1,v,0,,0,,4,0,2,0,0,,0,0,0,
Adrianna,Joel,Nick,Laurel,5,0,,0,,0,,0,,0,,1,,0,,2,,0,,1,,0,,0,,4,0,0,0,0,,0,0,0,
Steve,Jordan,Maddy,Bobo,5,0,,1,,0,,0,,1,v,1,v,0,,0,,0,,2,v,0,,1,v,6,0,4,0,0,,0,0,1,1728
Jordan,Steve,Bobo,Maddy,5,0,v,1,v,0,,0,,1,,1,,0,,0,v,0,v,2,,0,,1,,6,0,4,0,0,,0,0,1,
Maddy,Bobo,Jordan,Steve,5,2,,0,,2,,4,,0,,0,,1,v,2,,2,,0,,1,v,0,,14,0,2,0,0,,1,0,1,
Bobo,Maddy,Steve,Jordan,5,2,,0,,2,v,4,x,0,,0,,1,,2,,2,,0,,1,,0,,14,1,2,1,0,,1,0,1,
Andrea,Klore,Sean W,Nicole,5,0,,0,,0,,1,,0,v,2,v,2,,1,v,2,,1,,0,,0,,9,0,3,0,1,,0,1,3,1728
Klore,Andrea,Nicole,Sean W,5,0,,0,,0,,1,v,0,,2,,2,v,1,,2,v,1,v,0,v,0,,9,0,5,0,0,,0,1,3,
Sean W,Nicole,Klore,Andrea,5,1,,4,x,1,v,0,,2,,0,,0,,0,,0,,0,,2,,1,x,11,1,3,2,0,,2,0,0,
Nicole,Sean W,Andrea,Klore,5,1,v,4,,1,,0,,2,,0,,0,,0,,0,,0,,2,,1,,11,0,1,0,0,,2,0,0,
Bussin,Katie B,Kev,Alex,5,1,x,0,,1,,0,,0,,1,v,0,,0,,0,,0,v,1,,0,v,4,0,4,1,2,,0,2,0,1728
Katie B,Bussin,Alex,Kev,5,1,,0,,1,v,0,,0,,1,,0,,0,,0,,0,,1,v,0,,4,0,2,0,0,,0,2,0,
Kev,Alex,Katie B,Bussin,5,0,,1,,0,,4,,1,v,0,,1,v,1,x,2,,2,,0,,2,,14,0,3,1,0,,0,0,1,
Alex,Kev,Bussin,Katie B,5,0,,1,v,0,,4,x,1,,0,,1,,1,,2,v,2,,0,,2,,14,1,3,1,0,,0,0,1,
Jrock,Allie,Dre,Kotwa,5,0,,0,,0,,1,x,2,,1,,0,,0,,1,v,1,,0,,0,,6,0,2,1,0,,1,0,0,1728
Allie,Jrock,Kotwa,Dre,5,0,,0,,0,,1,,2,,1,v,0,,0,,1,,1,v,0,,0,,6,0,2,0,0,,1,0,0,
Dre,Kotwa,Allie,Jrock,5,1,x,1,,1,v,0,,0,v,0,,1,v,1,x,0,,0,,2,,1,x,8,0,6,3,1,,0,1,1,
Kotwa,Dre,Jrock,Allie,5,1,,1,v,1,,0,,0,,0,,1,,1,,0,,0,,2,v,1,,8,0,2,0,0,,0,1,1,
Jim,Rae,Jeff,Alannah,5,0,,0,,1,v,0,,1,,1,x,1,v,0,,1,,0,,0,,0,,5,0,3,1,0,,0,0,0,1728
Rae,Jim,Alannah,Jeff,5,0,,0,v,1,,0,,1,v,1,,1,,0,,1,x,0,,0,,0,,5,0,3,1,0,,0,0,0,
Jeff,Alannah,Rae,Jim,5,2,,2,,0,,1,,0,,0,,0,,1,,0,,4,x,1,,1,,12,1,1,1,0,,0,0,1,
Alannah,Jeff,Jim,Rae,5,2,v,2,,0,,1,v,0,,0,,0,,1,v,0,,4,,1,v,1,v,12,0,5,0,0,,0,0,1,
Callan,Rebecca,Bye,Bye,5,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,1728
Rebecca,Callan,Bye,Bye,5,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,
Bye,Bye,Rebecca,Callan,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,0,0,
Bye,Bye,Callan,Rebecca,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,0,0,
Bussin,Bobo,Katie B,Maddy,6,0,,1,v,0,,1,v,2,,0,,1,x,1,,0,x,1,,2,,4,x,13,1,5,3,1,,2,1,0,1728
Bobo,Bussin,Maddy,Katie B,6,0,,1,,0,,1,,2,,0,,1,,1,x,0,,1,x,2,,4,,13,0,2,2,0,,2,1,0,
Katie B,Maddy,Bobo,Bussin,6,1,v,0,,1,,0,,0,v,4,,0,,0,,2,,0,,0,,0,,8,0,2,0,1,,1,2,0,
Maddy,Katie B,Bussin,Bobo,6,1,,0,,1,v,0,,0,,4,x,0,,0,,2,,0,,0,v,0,,8,1,3,1,1,,1,2,0,
Alannah,Steve,Jordan,Jeff,6,2,v,0,,0,,0,v,2,,4,x,1,v,0,,0,,0,,0,,0,,9,1,4,1,1,,1,1,1,1728
Steve,Alannah,Jeff,Jordan,6,2,,0,,0,,0,,2,,4,,1,,0,,0,,0,,0,,0,,9,0,0,0,0,,1,1,1,
Jordan,Jeff,Steve,Alannah,6,0,,4,x,1,v,2,,0,v,0,,0,,1,x,1,,1,v,1,v,4,,15,1,6,2,1,,0,1,0,
Jeff,Jordan,Alannah,Steve,6,0,,4,,1,,2,,0,,0,,0,,1,,1,v,1,,1,,4,x,15,1,2,1,0,,0,1,0,
Jim,Alex,Rae,Kev,6,0,,0,,0,,0,,0,,0,,2,,1,,0,,0,,0,,0,,3,0,0,0,0,,0,0,0,1728
Alex,Jim,Kev,Rae,6,0,,0,,0,,0,,0,,0,,2,,1,v,0,,0,,0,,0,,3,0,1,0,0,,0,0,0,
Rae,Kev,Alex,Jim,6,1,v,4,,2,v,1,,1,v,1,v,0,,0,,1,v,4,x,1,,1,v ,17,1,6,1,0,,0,0,1,
Kev,Rae,Jim,Alex,6,1,,4,x,2,,1,v,1,,1,,0,v,0,,1,,4,,1,v,1,,17,1,4,1,0,,0,0,1,
Rebecca,Nicole,Callan,Sean W,6,1,v,0,,0,,2,v,1,v,0,,1,x,0,,0,,0,,0,,1,v,6,0,5,1,0,,0,0,1,1728
Nicole,Rebecca,Sean W,Callan,6,1,,0,,0,,2,,1,,0,,1,,0,,0,,0,,0,,1,,6,0,0,0,0,,0,0,1,
Callan,Sean W,Nicole,Rebecca,6,0,,1,v,2,v,0,,0,,4,,0,,1,,2,,1,,2,v,0,,13,0,3,0,0,,0,0,3,
Sean W,Callan,Rebecca,Nicole,6,0,,1,,2,,0,,0,,4,x,0,,1,x,2,v,1,v,2,,0,,13,1,4,2,0,,0,0,3,
Nick,Andrea,KLore,Laurel,6,0,,0,,0,,2,,0,,0,,0,,1,v,1,v,1,,0,,2,v,7,0,3,0,0,,0,0,2,1728
Andrea,Nick,Laurel,KLore,6,0,,0,,0,,2,v,0,,0,,0,,1,,1,,1,x,0,,2,,7,0,2,1,0,,0,0,2,
KLore,Laurel,Andrea,Nick,6,4,,1,v,2,v,0,,1,,1,,1,x,0,,0,,0,,1,v,0,,11,0,4,1,0,,0,0,1,
Laurel,KLore,Nick,Andrea,6,4,x,1,,2,,0,,1,v,1,v,1,,0,,0,,0,,1,,0,,11,1,3,1,0,,0,0,1,
Dre,Adrianna,Joel,Kotwa,6,1,v,1,v,1,,0,,0,,4,x,0,,1,,0,,0,,1,,0,,9,1,3,1,0,,0,0,0,1728
Adrianna,Dre,Kotwa,Joel,6,1,,1,,1,v,0,v,0,,4,,0,,1,v,0,,0,,1,v,0,,9,0,4,0,0,,0,0,0,
Joel,Kotwa,Adrianna,Dre,6,0,,0,,0,,2,,1,x,0,,1,x,0,,1,,1,x,0,,4,x,10,1,4,4,0,,0,0,0,
Kotwa,Joel,Dre,Adrianna,6,0,,0,,0,,2,,1,,0,,1,,0,,1,x,1,,0,,4,,10,0,1,1,0,,0,0,0,
Allie,Jrock,Bye,Bye,6,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,1728
Jrock,Allie,Bye,Bye,6,10,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,,0,0,0,
Bye,Bye,Jrock,Allie,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,
Bye,Bye,Allie,Jrock,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,